solar_ref_id,lat,long,state,postcode
AUS_SOLAR_REF_147,-33.692534,150.587962,NSW,2777
AUS_SOLAR_REF_148,-29.818331,139.666239,SA,5731
AUS_SOLAR_REF_149,-31.55247,159.081217,NSW,2898
AUS_SOLAR_REF_150,-29.60129298,147.0599838,NSW,2839
AUS_SOLAR_REF_151,-14.195911,132.365352,NT,850
AUS_SOLAR_REF_152,-37.6391,141.365747,VIC,3312
AUS_SOLAR_REF_153,-33.466819,141.90794,NSW,2648
AUS_SOLAR_REF_154,-36.894465,146.256507,VIC,3723
AUS_SOLAR_REF_155,-33.189372,117.922069,WA,6351
AUS_SOLAR_REF_156,-34.863483,150.61644,NSW,2540
AUS_SOLAR_REF_157,-26.576904,151.522575,QLD,4610
AUS_SOLAR_REF_158,-19.785442,147.228085,QLD,4807
AUS_SOLAR_REF_159,-29.736171,151.869397,NSW,2370
AUS_SOLAR_REF_160,-21.126329,148.609682,QLD,4756
AUS_SOLAR_REF_161,-39.830946,144.159775,TAS,7256
AUS_SOLAR_REF_162,-36.177296,149.129166,NSW,2630
AUS_SOLAR_REF_163,-27.99380024,143.3368723,QLD,4492
AUS_SOLAR_REF_164,-37.978862,146.342932,VIC,3825
AUS_SOLAR_REF_165,-24.889395,146.399409,QLD,4478
AUS_SOLAR_REF_166,-28.440886,115.004595,WA,6532
AUS_SOLAR_REF_167,-31.333592,151.138322,NSW,2340
AUS_SOLAR_REF_168,-38.17277,144.389533,VIC,3219
AUS_SOLAR_REF_169,-33.930089,151.057799,NSW,2196
AUS_SOLAR_REF_170,-35.059334,147.351953,NSW,2678
AUS_SOLAR_REF_171,-41.237355,146.239406,TAS,7310
AUS_SOLAR_REF_172,-27.957654,151.103872,QLD,4357
AUS_SOLAR_REF_173,-34.43967074,148.4641719,NSW,2594
AUS_SOLAR_REF_174,-21.145063,116.349933,WA,6714
AUS_SOLAR_REF_175,-32.07687,147.838499,NSW,2823
AUS_SOLAR_REF_176,-36.786777,145.565512,VIC,3666
AUS_SOLAR_REF_177,-36.37708,145.125014,VIC,3618
AUS_SOLAR_REF_178,-30.19419562,117.8045997,WA,6472
AUS_SOLAR_REF_179,-18.028128,145.157257,QLD,4872
AUS_SOLAR_REF_180,-25.55725,148.589834,QLD,4454
AUS_SOLAR_REF_181,-25.640978,152.791302,QLD,4650
AUS_SOLAR_REF_182,-35.91677256,146.4627814,NSW,2646
AUS_SOLAR_REF_183,-19.214466,141.243755,QLD,4823
AUS_SOLAR_REF_184,-27.98728,152.523366,QLD,4309
AUS_SOLAR_REF_185,-34.726283,149.729215,NSW,2580
AUS_SOLAR_REF_186,-32.2197804,152.4166347,NSW,2428
AUS_SOLAR_REF_187,-27.967005,153.365576,QLD,4214
AUS_SOLAR_REF_188,-35.616408,142.943814,VIC,3531
AUS_SOLAR_REF_189,-33.187701,138.2130413,SA,5523
AUS_SOLAR_REF_190,-22.055582,120.282267,WA,6758
AUS_SOLAR_REF_191,-25.571054,151.644182,QLD,4625
AUS_SOLAR_REF_192,-29.36625,151.814675,NSW,2371
AUS_SOLAR_REF_193,-35.39199,141.121226,VIC,3512
AUS_SOLAR_REF_194,-34.71006283,146.3021114,NSW,2700
AUS_SOLAR_REF_195,-26.112408,151.870256,QLD,4605
AUS_SOLAR_REF_196,-36.737758,149.699222,NSW,2550
AUS_SOLAR_REF_197,-30.820157,125.672818,WA,6434
AUS_SOLAR_REF_198,-32.672797,134.37909,SA,5680
AUS_SOLAR_REF_199,-42.544215,146.45502,TAS,7140
AUS_SOLAR_REF_200,-35.492114,139.0336,SA,5256
AUS_SOLAR_REF_201,-30.493397,151.906153,NSW,2350
AUS_SOLAR_REF_202,-37.125338,144.21419,VIC,3451
AUS_SOLAR_REF_203,-35.357619,144.984378,NSW,2710
AUS_SOLAR_REF_204,-34.905438,117.863286,WA,6330
AUS_SOLAR_REF_205,-32.115,137.0666,SA,5715
AUS_SOLAR_REF_206,-42.877588,147.385681,TAS,7018
AUS_SOLAR_REF_207,-26.649074,149.773144,QLD,4425
AUS_SOLAR_REF_208,-28.418047,145.596265,QLD,4490
AUS_SOLAR_REF_209,-30.81816175,152.7955009,NSW,2441
AUS_SOLAR_REF_210,-34.51494,137.811541,SA,5571
AUS_SOLAR_REF_211,-25.912724,121.214907,WA,6646
AUS_SOLAR_REF_212,-39.949379,148.329247,TAS,7255
AUS_SOLAR_REF_213,-28.92786,152.749759,NSW,2470
AUS_SOLAR_REF_214,-28.645485,148.753584,QLD,4497
AUS_SOLAR_REF_215,-37.573978,142.312764,VIC,3294
AUS_SOLAR_REF_216,-16.230854,145.299094,QLD,4873
