postcode,lat,long,cluster,solar_ref_id,ref_lat,ref_long,distance_km
5440,-31.94273878,140.5801933,76,AUS_SOLAR_REF_076,-31.94273878,140.5801933,0.0
5440,-32.13305942,140.4847062,76,AUS_SOLAR_REF_076,-31.94273878,140.5801933,23.635372672707025
5440,-32.339759,140.027346,401,AUS_SOLAR_REF_401,-32.339759,140.027346,0.0
5440,-31.67393878,139.5876935,333,AUS_SOLAR_REF_333,-32.11807652,139.6153947,49.395085878224414
5440,-32.55673806,140.4501458,401,AUS_SOLAR_REF_401,-32.339759,140.027346,52.750066412853386
5440,-31.38609809,139.5298388,333,AUS_SOLAR_REF_333,-32.11807652,139.6153947,81.802725108875
5440,-32.32128308,139.7889627,401,AUS_SOLAR_REF_401,-32.339759,140.027346,26.53990207914227
5440,-30.61615171,140.1552965,148,AUS_SOLAR_REF_148,-29.818331,139.666239,103.87222736618794
5440,-32.78328591,139.4517041,401,AUS_SOLAR_REF_401,-32.339759,140.027346,80.6626939315283
5440,-31.72375989,140.0544431,333,AUS_SOLAR_REF_333,-32.11807652,139.6153947,65.50402421732143
5440,-31.77681602,140.5606916,76,AUS_SOLAR_REF_076,-31.94273878,140.5801933,18.544203161471334
5440,-32.10342353,139.3735174,333,AUS_SOLAR_REF_333,-32.11807652,139.6153947,26.89760153009779
5440,-30.73107206,139.8109637,148,AUS_SOLAR_REF_148,-29.818331,139.666239,102.5799448836349
5440,-32.339759,140.027346,401,AUS_SOLAR_REF_401,-32.339759,140.027346,0.0
5440,-32.8742121,139.8414855,401,AUS_SOLAR_REF_401,-32.339759,140.027346,62.80915570407704
5440,-31.4691499,139.2188827,134,AUS_SOLAR_REF_134,-31.68160313,138.7858802,53.53693976728554
5440,-32.31913834,139.368492,384,AUS_SOLAR_REF_384,-32.212021,138.883978,55.07971003617045
5440,-32.339759,140.027346,401,AUS_SOLAR_REF_401,-32.339759,140.027346,0.0
5440,-31.63053585,140.3327545,76,AUS_SOLAR_REF_076,-31.94273878,140.5801933,44.21878751096917
5440,-32.11807652,139.6153947,333,AUS_SOLAR_REF_333,-32.11807652,139.6153947,0.0
5440,-31.3202348,140.7174876,76,AUS_SOLAR_REF_076,-31.94273878,140.5801933,70.75855437787679
5440,-31.74293508,140.9519438,76,AUS_SOLAR_REF_076,-31.94273878,140.5801933,46.84672814883765
5440,-32.71070856,140.564978,401,AUS_SOLAR_REF_401,-32.339759,140.027346,72.50362840243278
5440,-32.339759,140.027346,401,AUS_SOLAR_REF_401,-32.339759,140.027346,0.0
5440,-32.75841002,140.015385,401,AUS_SOLAR_REF_401,-32.339759,140.027346,46.48922535405712
5440,-32.339759,140.027346,401,AUS_SOLAR_REF_401,-32.339759,140.027346,0.0
5440,-32.40343883,140.4738498,401,AUS_SOLAR_REF_401,-32.339759,140.027346,50.06343211622444
5440,-32.60242923,139.8623262,401,AUS_SOLAR_REF_401,-32.339759,140.027346,34.43276253143276
